epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
118,1841.25,2.03075,3.23837,1.99427,0.27618,0.08034,0.07126,0.0203,2.13657,3.27909,2.12321,0.0008417,0.0008417,0.0008417
119,1856.99,2.0417,3.26281,1.99267,0.34413,0.06554,0.07416,0.0218,2.09486,3.25757,2.1157,0.0008318,0.0008318,0.0008318
120,1873.08,1.97542,3.19262,1.96447,0.30227,0.09937,0.08171,0.02621,2.13618,3.18074,2.11053,0.0008219,0.0008219,0.0008219
121,1888.77,2.05432,3.2535,2.01853,0.39221,0.074,0.07395,0.02026,2.1614,3.25357,2.19454,0.000812,0.000812,0.000812
122,1904.73,2.02925,3.2343,1.96532,0.30811,0.07611,0.06434,0.01785,2.15218,3.28596,2.12105,0.0008021,0.0008021,0.0008021
123,1920.78,2.02113,3.21602,1.95162,0.37467,0.08668,0.08005,0.02383,2.15136,3.2308,2.14205,0.0007922,0.0007922,0.0007922
124,1936.76,2.04047,3.20665,1.98583,0.31737,0.05285,0.06738,0.02378,2.24189,3.26263,2.18052,0.0007823,0.0007823,0.0007823
125,1952.94,2.03741,3.21486,1.98215,0.33167,0.08668,0.07607,0.02294,2.18237,3.27796,2.20888,0.0007724,0.0007724,0.0007724
126,1968.88,2.03445,3.23189,1.98364,0.31955,0.06765,0.07476,0.01915,2.17447,3.23247,2.19082,0.0007625,0.0007625,0.0007625
127,1984.93,2.01771,3.17377,1.95804,0.29728,0.08497,0.06971,0.02084,2.12777,3.20965,2.14986,0.0007526,0.0007526,0.0007526
128,2001.04,2.02902,3.18641,1.97707,0.25522,0.09725,0.07596,0.02624,2.21594,3.16353,2.12912,0.0007427,0.0007427,0.0007427
129,2017.2,2.04919,3.17108,1.98131,0.34408,0.07611,0.07312,0.02047,2.18419,3.22426,2.14164,0.0007328,0.0007328,0.0007328
130,2033.12,2.03259,3.22633,1.9722,0.36704,0.04651,0.06477,0.0226,2.16368,3.2358,2.12715,0.0007229,0.0007229,0.0007229
131,2049,2.00859,3.16799,1.96244,0.30719,0.09302,0.07923,0.02265,2.14424,3.20787,2.11275,0.000713,0.000713,0.000713
132,2064.93,2.0126,3.20001,1.9636,0.31965,0.06131,0.06715,0.01843,2.1174,3.23358,2.14924,0.0007031,0.0007031,0.0007031
133,2080.9,1.97231,3.20416,1.97425,0.28915,0.086,0.07336,0.02396,2.1173,3.18372,2.09831,0.0006932,0.0006932,0.0006932
134,2096.88,1.99006,3.21009,1.94859,0.37671,0.06645,0.0692,0.024,2.19927,3.19977,2.11268,0.0006833,0.0006833,0.0006833
135,2112.49,2.02259,3.1958,1.98,0.31479,0.08034,0.07507,0.02044,2.13805,3.22488,2.14898,0.0006734,0.0006734,0.0006734
136,2128.37,1.98201,3.19425,1.95109,0.33508,0.08457,0.07633,0.02055,2.12572,3.22266,2.13545,0.0006635,0.0006635,0.0006635
137,2144.22,2.01328,3.19701,1.97762,0.25136,0.08457,0.06622,0.02259,2.1033,3.23044,2.11456,0.0006536,0.0006536,0.0006536
138,2159.98,1.96984,3.16825,1.94571,0.28168,0.07822,0.06897,0.02413,2.12208,3.17082,2.07949,0.0006437,0.0006437,0.0006437
139,2175.75,1.98131,3.19975,1.95795,0.35388,0.06131,0.06493,0.02331,2.1277,3.20162,2.10317,0.0006338,0.0006338,0.0006338
140,2191.72,2.00884,3.23828,1.97156,0.34403,0.05545,0.06853,0.02164,2.14375,3.23678,2.09482,0.0006239,0.0006239,0.0006239
141,2207.51,2.00144,3.1912,1.96399,0.27339,0.10571,0.07698,0.0242,2.12796,3.19325,2.16016,0.000614,0.000614,0.000614
142,2223.44,2.00029,3.20079,1.97613,0.38983,0.06554,0.07261,0.02469,2.25542,3.23132,2.1365,0.0006041,0.0006041,0.0006041
143,2239.47,1.98763,3.20121,1.9743,0.295,0.07962,0.07122,0.02346,2.14073,3.21315,2.13459,0.0005942,0.0005942,0.0005942
144,2255.6,2.00671,3.21831,1.95655,0.40325,0.06287,0.07131,0.0223,2.23971,3.26403,2.12166,0.0005843,0.0005843,0.0005843
145,2271.42,1.99471,3.16293,1.93581,0.30304,0.08245,0.07395,0.02332,2.1816,3.23027,2.09623,0.0005744,0.0005744,0.0005744
