epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,5520.68,2.07339,2.44754,2.03303,0.18679,0.12437,0.08573,0.02713,2.18897,2.74545,2.25587,0.0072775,0.0072775,0.0072775
57,5618.68,2.06927,2.45846,2.04444,0.18745,0.12419,0.08584,0.02714,2.18961,2.74571,2.25634,0.007228,0.007228,0.007228
58,5717.58,2.08284,2.43113,2.04148,0.18662,0.12472,0.0861,0.02717,2.18854,2.74485,2.25638,0.0071785,0.0071785,0.0071785
59,5816.08,2.06648,2.45089,2.04921,0.18564,0.12501,0.08601,0.02729,2.18731,2.74554,2.25597,0.007129,0.007129,0.007129
60,5915.47,2.06751,2.43987,2.03177,0.18683,0.12529,0.08603,0.02723,2.18695,2.74634,2.2555,0.0070795,0.0070795,0.0070795
61,6013.58,2.07664,2.40932,2.0237,0.18677,0.12392,0.08604,0.02731,2.18582,2.74576,2.25371,0.00703,0.00703,0.00703
62,6111.91,2.06865,2.44335,2.03912,0.18732,0.12364,0.08611,0.02738,2.18464,2.74616,2.25309,0.0069805,0.0069805,0.0069805
63,6210.37,2.0698,2.43617,2.03715,0.18888,0.12118,0.08625,0.02738,2.18522,2.74599,2.25407,0.006931,0.006931,0.006931
64,6308.26,2.06585,2.42399,2.03665,0.18341,0.1262,0.08589,0.02732,2.18604,2.74496,2.25569,0.0068815,0.0068815,0.0068815
65,6405.91,2.06591,2.42446,2.0343,0.18376,0.12501,0.08542,0.02723,2.18639,2.74443,2.25619,0.006832,0.006832,0.006832
66,6504.29,2.06264,2.44797,2.03492,0.18416,0.12565,0.08572,0.02715,2.18589,2.74335,2.25533,0.0067825,0.0067825,0.0067825
67,6602.77,2.07942,2.42173,2.03083,0.19154,0.12018,0.08571,0.02719,2.18392,2.74215,2.25263,0.006733,0.006733,0.006733
68,6700.47,2.06104,2.42451,2.02193,0.19291,0.12063,0.08633,0.02726,2.18302,2.74196,2.25076,0.0066835,0.0066835,0.0066835
69,6798.62,2.06615,2.41525,2.02321,0.19448,0.12072,0.08645,0.0273,2.18375,2.74148,2.25194,0.006634,0.006634,0.006634
70,6896.34,2.05377,2.42092,2.02724,0.19368,0.12127,0.08631,0.02736,2.18374,2.73994,2.25193,0.0065845,0.0065845,0.0065845
71,6994.85,2.05718,2.40894,2.01454,0.19423,0.12145,0.08683,0.02723,2.18505,2.73914,2.25319,0.006535,0.006535,0.006535
72,7092.42,2.06304,2.41829,2.02452,0.19451,0.1189,0.08662,0.02718,2.18566,2.73797,2.2541,0.0064855,0.0064855,0.0064855
73,7190.34,2.06932,2.3845,2.0163,0.18954,0.12711,0.08723,0.02734,2.18529,2.73756,2.25348,0.006436,0.006436,0.006436
74,7289.17,2.05849,2.41132,2.02076,0.19697,0.11954,0.08705,0.02728,2.18487,2.73748,2.25287,0.0063865,0.0063865,0.0063865
75,7387.69,2.05133,2.41528,2.02465,0.1858,0.13131,0.08732,0.02732,2.18472,2.73739,2.25271,0.006337,0.006337,0.006337
76,7486.08,2.05789,2.42351,2.02422,0.1881,0.13012,0.08739,0.02727,2.18455,2.73601,2.25253,0.0062875,0.0062875,0.0062875
77,7585.06,2.06262,2.39475,2.02471,0.18194,0.13741,0.08813,0.02771,2.18431,2.73485,2.25102,0.006238,0.006238,0.006238
78,7682.41,2.05693,2.40779,2.02359,0.18164,0.13742,0.08848,0.02779,2.18456,2.73475,2.25174,0.0061885,0.0061885,0.0061885
79,7781.04,2.04334,2.4012,2.01666,0.1818,0.13687,0.08851,0.02789,2.18482,2.73423,2.25227,0.006139,0.006139,0.006139
80,15277.5,2.05785,2.38852,2.0198,0.17667,0.14618,0.08828,0.02767,2.18531,2.73337,2.25373,0.0060895,0.0060895,0.0060895
81,28350.5,2.04957,2.40172,2.01078,0.16956,0.15622,0.08823,0.02772,2.18527,2.73274,2.25294,0.00604,0.00604,0.00604
82,28440.6,2.05699,2.39485,2.01916,0.16956,0.15722,0.08901,0.02797,2.18535,2.73126,2.25255,0.0059905,0.0059905,0.0059905
83,28532.4,2.0549,2.39471,2.00903,0.16411,0.16835,0.08896,0.02783,2.18483,2.73022,2.25102,0.005941,0.005941,0.005941
84,28624.1,2.03777,2.40225,2.01103,0.16237,0.16863,0.089,0.02786,2.18409,2.72886,2.25054,0.0058915,0.0058915,0.0058915
85,28717.1,2.0554,2.39573,2.02069,0.16107,0.16918,0.0893,0.02805,2.18395,2.72737,2.25023,0.005842,0.005842,0.005842
86,28809.4,2.05384,2.41748,2.01475,0.16186,0.17228,0.08943,0.02804,2.18287,2.72641,2.24941,0.0057925,0.0057925,0.0057925
87,28902.4,2.05742,2.3888,2.00425,0.14924,0.19546,0.08962,0.02815,2.18243,2.72621,2.2494,0.005743,0.005743,0.005743
88,28994.7,2.05405,2.38439,2.00337,0.15477,0.18797,0.08998,0.02833,2.18226,2.72455,2.24889,0.0056935,0.0056935,0.0056935
89,29087.5,2.05121,2.38282,1.99716,0.15385,0.18703,0.09002,0.02846,2.18164,2.72254,2.24762,0.005644,0.005644,0.005644
90,29180.6,2.04666,2.39757,2.00084,0.15351,0.18761,0.09005,0.02863,2.18093,2.72096,2.24582,0.0055945,0.0055945,0.0055945
91,29275.6,2.03796,2.40491,2.01357,0.15281,0.18651,0.09005,0.02869,2.18207,2.71862,2.24636,0.005545,0.005545,0.005545
92,29371.3,2.03052,2.3957,2.00153,0.15211,0.18706,0.08998,0.02868,2.18271,2.71621,2.24696,0.0054955,0.0054955,0.0054955
93,29466,2.03691,2.37946,2.006,0.15196,0.18706,0.08996,0.02867,2.18336,2.71475,2.24807,0.005446,0.005446,0.005446
94,29561,2.04025,2.39749,1.99337,0.14715,0.19555,0.08952,0.02853,2.18452,2.71286,2.24979,0.0053965,0.0053965,0.0053965
95,29654.6,2.04009,2.40897,2.00309,0.14765,0.19195,0.0889,0.02841,2.18506,2.71113,2.25065,0.005347,0.005347,0.005347
96,29748.4,2.03656,2.39371,1.99955,0.14688,0.1908,0.08851,0.02833,2.18499,2.71001,2.25087,0.0052975,0.0052975,0.0052975
97,29843.4,2.0373,2.35811,1.99159,0.14613,0.19071,0.08854,0.02838,2.18529,2.70894,2.25111,0.005248,0.005248,0.005248
98,29937.7,2.0364,2.38546,2.00203,0.14673,0.18916,0.08858,0.02831,2.18572,2.70741,2.25091,0.0051985,0.0051985,0.0051985
99,30032.3,2.04956,2.38475,2.00116,0.14741,0.18885,0.08846,0.02829,2.18612,2.70559,2.25089,0.005149,0.005149,0.005149
